model,add_num,value
MISRRLL,3,0.955254
APMISRR,3,0.919996
TolerMIS,3,0.936506
MISRRLL,3,0.957012
APMISRR,3,0.9068
TolerMIS,3,0.931732
MISRRLL,3,0.953828
APMISRR,3,0.905614
TolerMIS,3,0.927418
MISRRLL,3,0.954842
APMISRR,3,0.896119
TolerMIS,3,0.921699
MISRRLL,3,0.951429
APMISRR,3,0.910544
TolerMIS,3,0.930093
MISRRLL,3,0.956123
APMISRR,3,0.899005
TolerMIS,3,0.921082
MISRRLL,3,0.954192
APMISRR,3,0.904634
TolerMIS,3,0.928354
MISRRLL,3,0.954982
APMISRR,3,0.906521
TolerMIS,3,0.92856
MISRRLL,3,0.954377
APMISRR,3,0.899814
TolerMIS,3,0.925853
MISRRLL,3,0.952301
APMISRR,3,0.895188
TolerMIS,3,0.921356
MISRRLL,3,0.951654
APMISRR,3,0.903674
TolerMIS,3,0.927563
MISRRLL,3,0.954758
APMISRR,3,0.909111
TolerMIS,3,0.927204
MISRRLL,3,0.955787
APMISRR,4,0.89417
TolerMIS,4,0.912911
MISRRLL,4,0.950509
APMISRR,4,0.912972
TolerMIS,4,0.933737
MISRRLL,4,0.953937
APMISRR,4,0.904472
TolerMIS,4,0.922323
MISRRLL,4,0.953223
APMISRR,4,0.905215
TolerMIS,4,0.926823
MISRRLL,4,0.952667
APMISRR,4,0.906773
TolerMIS,4,0.928014
MISRRLL,4,0.953105
APMISRR,4,0.910474
TolerMIS,4,0.930339
MISRRLL,4,0.953634
APMISRR,4,0.903454
TolerMIS,4,0.927469
MISRRLL,4,0.952132
APMISRR,4,0.927604
TolerMIS,4,0.924463
MISRRLL,4,0.953653
APMISRR,4,0.896656
TolerMIS,4,0.918948
MISRRLL,4,0.949769
APMISRR,4,0.92762
TolerMIS,4,0.927644
MISRRLL,4,0.953751
APMISRR,4,0.894669
TolerMIS,4,0.916197
MISRRLL,4,0.949765
APMISRR,4,0.914158
TolerMIS,4,0.934146
MISRRLL,4,0.954254
APMISRR,4,0.904673
TolerMIS,4,0.925879
MISRRLL,4,0.952273
APMISRR,4,0.912128
TolerMIS,4,0.930942
MISRRLL,4,0.954073
APMISRR,4,0.907434
TolerMIS,4,0.930942
MISRRLL,4,0.952774
APMISRR,4,0.898883
TolerMIS,4,0.92085
MISRRLL,4,0.9513
APMISRR,4,0.908386
TolerMIS,4,0.928315
MISRRLL,4,0.953653
APMISRR,4,0.907478
TolerMIS,4,0.926212
MISRRLL,4,0.953034
APMISRR,4,0.918384
TolerMIS,4,0.931054
MISRRLL,4,0.954399
APMISRR,4,0.900063
TolerMIS,4,0.92265
MISRRLL,4,0.951437
APMISRR,4,0.907037
TolerMIS,4,0.927699
MISRRLL,4,0.952871
APMISRR,4,0.892176
TolerMIS,4,0.91429
MISRRLL,4,0.949371
APMISRR,4,0.909138
TolerMIS,4,0.924952
MISRRLL,4,0.953532
APMISRR,4,0.903927
TolerMIS,4,0.924537
MISRRLL,4,0.952646
APMISRR,4,0.904721
TolerMIS,4,0.925868
MISRRLL,4,0.952886
APMISRR,4,0.905613
TolerMIS,4,0.927069
MISRRLL,4,0.952396
APMISRR,4,0.902395
TolerMIS,4,0.925438
MISRRLL,4,0.950809
APMISRR,4,0.896714
TolerMIS,4,0.918268
MISRRLL,4,0.949641
APMISRR,4,0.9058
TolerMIS,4,0.924896
MISRRLL,4,0.952559
APMISRR,4,0.907959
TolerMIS,4,0.924778
MISRRLL,4,0.953635
