model,add_num,value
APMISRR,1,0.940423
TolerMIS,1,0.9616
MISRRLL,1,0.975477
APMISRR,1,0.942792
TolerMIS,1,0.962152
MISRRLL,1,0.976378
APMISRR,1,0.941668
TolerMIS,1,0.960538
MISRRLL,1,0.976342
APMISRR,1,0.940336
TolerMIS,1,0.96109
MISRRLL,1,0.975916
APMISRR,1,0.942967
TolerMIS,1,0.962776
MISRRLL,1,0.976121
APMISRR,1,0.941806
TolerMIS,1,0.961011
MISRRLL,1,0.97622
APMISRR,1,0.93709
TolerMIS,1,0.959488
MISRRLL,1,0.975487
APMISRR,1,0.95545
TolerMIS,1,0.962275
MISRRLL,1,0.976812
APMISRR,1,0.9306
TolerMIS,1,0.955109
MISRRLL,1,0.974345
APMISRR,1,0.95544
TolerMIS,1,0.962276
MISRRLL,1,0.976923
APMISRR,1,0.931789
TolerMIS,1,0.956148
MISRRLL,1,0.974652
APMISRR,1,0.944745
TolerMIS,1,0.963151
MISRRLL,1,0.976521
APMISRR,1,0.94142
TolerMIS,1,0.962235
MISRRLL,1,0.975896
APMISRR,1,0.942356
TolerMIS,1,0.960166
MISRRLL,1,0.976415
APMISRR,1,0.939553
TolerMIS,1,0.961059
MISRRLL,1,0.975701
APMISRR,1,0.93985
TolerMIS,1,0.961447
MISRRLL,1,0.975568
APMISRR,1,0.938693
TolerMIS,1,0.958202
MISRRLL,1,0.975989
APMISRR,1,0.942404
TolerMIS,1,0.962196
MISRRLL,1,0.976259
APMISRR,1,0.949458
TolerMIS,1,0.961342
MISRRLL,1,0.976636
APMISRR,1,0.936569
TolerMIS,1,0.95928
MISRRLL,1,0.97535
APMISRR,1,0.938134
TolerMIS,1,0.958627
MISRRLL,1,0.975797
APMISRR,1,0.932851
TolerMIS,1,0.957151
MISRRLL,1,0.974541
APMISRR,1,0.943527
TolerMIS,1,0.961396
MISRRLL,1,0.976548
APMISRR,1,0.941625
TolerMIS,1,0.961816
MISRRLL,1,0.976092
APMISRR,1,0.941691
TolerMIS,1,0.961604
MISRRLL,1,0.975991
APMISRR,1,0.937485
TolerMIS,1,0.959082
MISRRLL,1,0.975672
APMISRR,1,0.935661
TolerMIS,1,0.959288
MISRRLL,1,0.974941
APMISRR,1,0.932419
TolerMIS,1,0.957026
MISRRLL,1,0.974678
APMISRR,1,0.939025
TolerMIS,1,0.960108
MISRRLL,1,0.975868
APMISRR,1,0.943162
TolerMIS,1,0.960778
MISRRLL,1,0.976429
APMISRR,2,0.930685
TolerMIS,2,0.95522
MISRRLL,2,0.973779
APMISRR,2,0.937184
TolerMIS,2,0.958322
MISRRLL,2,0.97464
APMISRR,2,0.93374
TolerMIS,2,0.954654
MISRRLL,2,0.974398
APMISRR,2,0.935843
TolerMIS,2,0.958319
MISRRLL,2,0.974206
APMISRR,2,0.929851
TolerMIS,2,0.953103
MISRRLL,2,0.973975
APMISRR,2,0.936863
TolerMIS,2,0.958026
MISRRLL,2,0.974683
APMISRR,2,0.927231
TolerMIS,2,0.952225
MISRRLL,2,0.973343
APMISRR,2,0.949951
TolerMIS,2,0.955283
MISRRLL,2,0.974816
APMISRR,2,0.926451
TolerMIS,2,0.952962
MISRRLL,2,0.972833
APMISRR,2,0.950805
TolerMIS,2,0.958794
MISRRLL,2,0.97524
APMISRR,2,0.923794
TolerMIS,2,0.950904
MISRRLL,2,0.972847
APMISRR,2,0.932876
TolerMIS,2,0.953781
MISRRLL,2,0.974304
APMISRR,2,0.93128
TolerMIS,2,0.954973
MISRRLL,2,0.973881
APMISRR,2,0.936844
TolerMIS,2,0.956446
MISRRLL,2,0.974676
APMISRR,2,0.932251
TolerMIS,2,0.956438
MISRRLL,2,0.973938
APMISRR,2,0.932039
TolerMIS,2,0.956294
MISRRLL,2,0.973731
APMISRR,2,0.935481
TolerMIS,2,0.956611
MISRRLL,2,0.974444
APMISRR,2,0.931171
TolerMIS,2,0.95335
MISRRLL,2,0.974066
APMISRR,2,0.945653
TolerMIS,2,0.959625
MISRRLL,2,0.975077
APMISRR,2,0.929945
TolerMIS,2,0.954762
MISRRLL,2,0.973583
APMISRR,2,0.930979
TolerMIS,2,0.954051
MISRRLL,2,0.974142
APMISRR,2,0.928381
TolerMIS,2,0.954886
MISRRLL,2,0.973122
APMISRR,2,0.936976
TolerMIS,2,0.956857
MISRRLL,2,0.97472
APMISRR,2,0.931882
TolerMIS,2,0.955065
MISRRLL,2,0.974193
APMISRR,2,0.931166
TolerMIS,2,0.954185
MISRRLL,2,0.974054
APMISRR,2,0.931205
TolerMIS,2,0.955114
MISRRLL,2,0.973981
APMISRR,2,0.927017
TolerMIS,2,0.953278
MISRRLL,2,0.972924
APMISRR,2,0.930819
TolerMIS,2,0.95666
MISRRLL,2,0.973122
APMISRR,2,0.936461
TolerMIS,2,0.958975
MISRRLL,2,0.974327
APMISRR,2,0.937324
TolerMIS,2,0.957175
MISRRLL,2,0.974817
APMISRR,3,0.928741
TolerMIS,3,0.953558
MISRRLL,3,0.972126
APMISRR,3,0.93839
TolerMIS,3,0.959302
MISRRLL,3,0.973163
APMISRR,3,0.932602
TolerMIS,3,0.953259
MISRRLL,3,0.9729
APMISRR,3,0.934481
TolerMIS,3,0.956991
MISRRLL,3,0.972642
APMISRR,3,0.933476
TolerMIS,3,0.955767
MISRRLL,3,0.972675
APMISRR,3,0.933276
TolerMIS,3,0.954552
MISRRLL,3,0.972761
APMISRR,3,0.932585
TolerMIS,3,0.956443
MISRRLL,3,0.972162
APMISRR,3,0.952566
TolerMIS,3,0.957321
MISRRLL,3,0.973455
APMISRR,3,0.924323
TolerMIS,3,0.951111
MISRRLL,3,0.971255
APMISRR,3,0.9523
TolerMIS,3,0.955867
MISRRLL,3,0.973443
APMISRR,3,0.922227
TolerMIS,3,0.949083
MISRRLL,3,0.971197
APMISRR,3,0.933155
TolerMIS,3,0.953872
MISRRLL,3,0.972947
APMISRR,3,0.9318
TolerMIS,3,0.955089
MISRRLL,3,0.972462
APMISRR,3,0.937188
TolerMIS,3,0.956672
MISRRLL,3,0.973243
APMISRR,3,0.929505
TolerMIS,3,0.953336
MISRRLL,3,0.972224
APMISRR,3,0.927592
TolerMIS,3,0.952627
MISRRLL,3,0.971948
APMISRR,3,0.936674
TolerMIS,3,0.957643
MISRRLL,3,0.973219
APMISRR,3,0.93346
TolerMIS,3,0.955177
MISRRLL,3,0.972833
APMISRR,3,0.947262
TolerMIS,3,0.960745
MISRRLL,3,0.973704
APMISRR,3,0.935306
TolerMIS,3,0.958738
MISRRLL,3,0.972291
APMISRR,3,0.93245
TolerMIS,3,0.954687
MISRRLL,3,0.972609
APMISRR,3,0.925657
TolerMIS,3,0.952296
MISRRLL,3,0.971134
APMISRR,3,0.936967
TolerMIS,3,0.956054
MISRRLL,3,0.973225
APMISRR,3,0.926814
TolerMIS,3,0.950145
MISRRLL,3,0.9722
APMISRR,3,0.932788
TolerMIS,3,0.955573
MISRRLL,3,0.972687
APMISRR,3,0.933273
TolerMIS,3,0.955773
MISRRLL,3,0.972443
APMISRR,3,0.929454
TolerMIS,3,0.955137
MISRRLL,3,0.971579
APMISRR,3,0.925034
TolerMIS,3,0.952099
MISRRLL,3,0.97128
APMISRR,3,0.931692
TolerMIS,3,0.955148
MISRRLL,3,0.972645
APMISRR,3,0.935064
TolerMIS,3,0.953806
MISRRLL,3,0.973016
APMISRR,4,0.919906
TolerMIS,4,0.944531
MISRRLL,4,0.970311
APMISRR,4,0.938684
TolerMIS,4,0.958874
MISRRLL,4,0.972006
APMISRR,4,0.92989
TolerMIS,4,0.950454
MISRRLL,4,0.971653
APMISRR,4,0.931359
TolerMIS,4,0.954346
MISRRLL,4,0.971445
APMISRR,4,0.932865
TolerMIS,4,0.955087
MISRRLL,4,0.971664
APMISRR,4,0.936155
TolerMIS,4,0.956386
MISRRLL,4,0.971837
APMISRR,4,0.930953
TolerMIS,4,0.955428
MISRRLL,4,0.971309
APMISRR,4,0.952915
TolerMIS,4,0.951409
MISRRLL,4,0.971968
APMISRR,4,0.923252
TolerMIS,4,0.949801
MISRRLL,4,0.970187
APMISRR,4,0.953208
TolerMIS,4,0.953963
MISRRLL,4,0.972214
APMISRR,4,0.921376
TolerMIS,4,0.94769
MISRRLL,4,0.970116
APMISRR,4,0.93954
TolerMIS,4,0.959089
MISRRLL,4,0.972203
APMISRR,4,0.930522
TolerMIS,4,0.953698
MISRRLL,4,0.971243
APMISRR,4,0.93769
TolerMIS,4,0.956587
