model,add_num,value
APMISRR,1,0.965684
TolerMIS,1,0.974561
MISRRLL,1,0.980478
APMISRR,1,0.965138
TolerMIS,1,0.974128
MISRRLL,1,0.981161
APMISRR,1,0.963586
TolerMIS,1,0.972022
MISRRLL,1,0.981115
APMISRR,1,0.964057
TolerMIS,1,0.973389
MISRRLL,1,0.980857
APMISRR,1,0.966444
TolerMIS,1,0.975297
MISRRLL,1,0.980938
APMISRR,1,0.964386
TolerMIS,1,0.972762
MISRRLL,1,0.981029
APMISRR,1,0.961865
TolerMIS,1,0.971994
MISRRLL,1,0.980637
APMISRR,1,0.972721
TolerMIS,1,0.97363
MISRRLL,1,0.981317
APMISRR,1,0.957964
TolerMIS,1,0.967661
MISRRLL,1,0.979776
APMISRR,1,0.972709
TolerMIS,1,0.973454
MISRRLL,1,0.981194
APMISRR,1,0.95847
TolerMIS,1,0.968764
MISRRLL,1,0.980042
APMISRR,1,0.966826
TolerMIS,1,0.975228
MISRRLL,1,0.981206
APMISRR,1,0.965529
TolerMIS,1,0.974956
MISRRLL,1,0.980847
APMISRR,1,0.963733
TolerMIS,1,0.971388
MISRRLL,1,0.98114
APMISRR,1,0.96401
TolerMIS,1,0.97369
MISRRLL,1,0.980752
APMISRR,1,0.964845
TolerMIS,1,0.974382
MISRRLL,1,0.980618
APMISRR,1,0.961213
TolerMIS,1,0.969379
MISRRLL,1,0.98087
APMISRR,1,0.965217
TolerMIS,1,0.974356
MISRRLL,1,0.981088
APMISRR,1,0.968749
TolerMIS,1,0.972605
MISRRLL,1,0.981266
APMISRR,1,0.961759
TolerMIS,1,0.971902
MISRRLL,1,0.980569
APMISRR,1,0.961518
TolerMIS,1,0.970187
MISRRLL,1,0.980773
APMISRR,1,0.960139
TolerMIS,1,0.970163
MISRRLL,1,0.979911
APMISRR,1,0.96478
TolerMIS,1,0.972825
MISRRLL,1,0.981252
APMISRR,1,0.964931
TolerMIS,1,0.974078
MISRRLL,1,0.980972
APMISRR,1,0.965282
TolerMIS,1,0.973865
MISRRLL,1,0.980845
APMISRR,1,0.961459
TolerMIS,1,0.971078
MISRRLL,1,0.980751
APMISRR,1,0.96226
TolerMIS,1,0.972542
MISRRLL,1,0.980265
APMISRR,1,0.959368
TolerMIS,1,0.969981
MISRRLL,1,0.980164
APMISRR,1,0.962627
TolerMIS,1,0.97218
MISRRLL,1,0.980854
APMISRR,1,0.964707
TolerMIS,1,0.972162
MISRRLL,1,0.981139
APMISRR,2,0.956761
TolerMIS,2,0.967979
MISRRLL,2,0.978668
APMISRR,2,0.960688
TolerMIS,2,0.970537
MISRRLL,2,0.979012
APMISRR,2,0.956783
TolerMIS,2,0.965955
MISRRLL,2,0.978865
APMISRR,2,0.960881
TolerMIS,2,0.971194
MISRRLL,2,0.978723
APMISRR,2,0.953959
TolerMIS,2,0.964673
MISRRLL,2,0.9787
APMISRR,2,0.960375
TolerMIS,2,0.970189
MISRRLL,2,0.979158
APMISRR,2,0.953346
TolerMIS,2,0.96449
MISRRLL,2,0.978261
APMISRR,2,0.968493
TolerMIS,2,0.966224
MISRRLL,2,0.978961
APMISRR,2,0.954798
TolerMIS,2,0.966297
MISRRLL,2,0.977982
APMISRR,2,0.969426
TolerMIS,2,0.970291
MISRRLL,2,0.979033
APMISRR,2,0.951745
TolerMIS,2,0.963664
MISRRLL,2,0.978034
APMISRR,2,0.955763
TolerMIS,2,0.964978
MISRRLL,2,0.97881
APMISRR,2,0.956462
TolerMIS,2,0.96724
MISRRLL,2,0.978577
APMISRR,2,0.959443
TolerMIS,2,0.967936
MISRRLL,2,0.979004
APMISRR,2,0.957922
TolerMIS,2,0.969283
MISRRLL,2,0.978633
APMISRR,2,0.958462
TolerMIS,2,0.969291
MISRRLL,2,0.978443
APMISRR,2,0.959181
TolerMIS,2,0.968477
MISRRLL,2,0.978902
APMISRR,2,0.954794
TolerMIS,2,0.964736
MISRRLL,2,0.978717
APMISRR,2,0.966351
TolerMIS,2,0.971634
MISRRLL,2,0.979238
APMISRR,2,0.956395
TolerMIS,2,0.967643
MISRRLL,2,0.978519
APMISRR,2,0.955129
TolerMIS,2,0.965676
MISRRLL,2,0.97886
APMISRR,2,0.956735
TolerMIS,2,0.968593
MISRRLL,2,0.978216
APMISRR,2,0.959674
TolerMIS,2,0.968505
MISRRLL,2,0.97908
APMISRR,2,0.956069
TolerMIS,2,0.967011
MISRRLL,2,0.978849
APMISRR,2,0.955224
TolerMIS,2,0.966014
MISRRLL,2,0.978724
APMISRR,2,0.956324
TolerMIS,2,0.967436
MISRRLL,2,0.978748
APMISRR,2,0.955056
TolerMIS,2,0.966483
MISRRLL,2,0.977926
APMISRR,2,0.959218
TolerMIS,2,0.970741
MISRRLL,2,0.978027
APMISRR,2,0.961311
TolerMIS,2,0.971908
MISRRLL,2,0.978807
APMISRR,2,0.959618
TolerMIS,2,0.968701
MISRRLL,2,0.979087
APMISRR,3,0.953438
TolerMIS,3,0.964744
MISRRLL,3,0.976436
APMISRR,3,0.960414
TolerMIS,3,0.970575
MISRRLL,3,0.976771
APMISRR,3,0.953784
TolerMIS,3,0.963102
MISRRLL,3,0.976854
APMISRR,3,0.958105
TolerMIS,3,0.968356
MISRRLL,3,0.976631
APMISRR,3,0.956323
TolerMIS,3,0.96656
MISRRLL,3,0.97658
APMISRR,3,0.955353
TolerMIS,3,0.964992
MISRRLL,3,0.976726
APMISRR,3,0.957043
TolerMIS,3,0.968175
MISRRLL,3,0.976163
APMISRR,3,0.969869
TolerMIS,3,0.96743
MISRRLL,3,0.976817
APMISRR,3,0.950933
TolerMIS,3,0.962896
MISRRLL,3,0.975926
APMISRR,3,0.969583
TolerMIS,3,0.965422
MISRRLL,3,0.976322
APMISRR,3,0.948535
TolerMIS,3,0.960374
MISRRLL,3,0.975949
APMISRR,3,0.954459
TolerMIS,3,0.963772
MISRRLL,3,0.976825
APMISRR,3,0.955597
TolerMIS,3,0.966227
MISRRLL,3,0.976649
APMISRR,3,0.958395
TolerMIS,3,0.966995
MISRRLL,3,0.976904
APMISRR,3,0.953708
TolerMIS,3,0.964256
MISRRLL,3,0.976513
APMISRR,3,0.951675
TolerMIS,3,0.963731
MISRRLL,3,0.976239
