SIS,APMISRR,toler-MIS
0.8886,0.9894,0.9923
0.8894,0.9905,0.9929
0.8899,0.9913,0.9933
0.8904,0.9919,0.9937
0.8907,0.9924,0.9939
0.8910,0.9928,0.9941
0.8912,0.9931,0.9943
0.8914,0.9933,0.9945
0.8915,0.9935,0.9946
0.8916,0.9937,0.9947
0.8917,0.9939,0.9948
0.8918,0.9940,0.9949
0.8919,0.9942,0.9949
0.8920,0.9943,0.9950
0.8921,0.9944,0.9950
0.8921,0.9945,0.9951
0.8922,0.9945,0.9951
0.8922,0.9946,0.9952
0.8923,0.9947,0.9952
0.8923,0.9947,0.9952
0.8924,0.9948,0.9953
