SIS,APMISRR,toler-MIS
13218.46,11668.56,11589.22
13463.13,11676.40,11593.30
13707.81,11684.23,11597.45
13952.48,11692.06,11601.65
14197.15,11699.89,11605.92
14441.82,11707.72,11610.24
14686.49,11715.55,11614.61
14931.17,11723.38,11619.05
15175.84,11731.20,11623.54
15420.51,11739.02,11628.09
