SIS,APMISRR,toler-MIS
0.9123,0.9927,0.9941
0.9012,0.9923,0.9939
0.8904,0.9919,0.9937
0.8798,0.9915,0.9934
0.8695,0.9911,0.9932
0.8595,0.9907,0.9930
0.8497,0.9903,0.9927
0.8402,0.9898,0.9925
0.8309,0.9894,0.9922
0.8218,0.9890,0.9920
