SIS,APMISRR,toler-MIS
23631.00,21905.94,21778.12
23631.00,21681.85,21612.71
23631.00,21563.10,21514.65
23631.00,21489.76,21450.26
23631.00,21440.29,21405.12
23631.00,21404.96,21371.99
23631.00,21378.72,21346.89
23631.00,21358.66,21327.39
23631.00,21343.00,21311.98
23631.00,21330.60,21299.63
23631.00,21320.65,21289.63
23631.00,21312.63,21281.49
23631.00,21306.12,21274.82
23631.00,21300.83,21269.35
23631.00,21296.54,21264.88
23631.00,21293.08,21261.23
23631.00,21290.32,21258.28
23631.00,21288.14,21255.92
23631.00,21286.46,21254.06
23631.00,21285.22,21252.64
23631.00,21284.34,21251.60
23631.00,21283.80,21250.89
23631.00,21283.53,21250.48
23631.00,21283.53,21250.33
23631.00,21283.74,21250.40
23631.00,21284.15,21250.68
23631.00,21284.74,21251.15
23631.00,21285.50,21251.78
23631.00,21286.39,21252.56
23631.00,21287.42,21253.48
23631.00,21288.56,21254.52
23631.00,21289.82,21255.67
23631.00,21291.17,21256.93
23631.00,21292.61,21258.28
23631.00,21294.14,21259.71
23631.00,21295.74,21261.23
23631.00,21297.41,21262.82
23631.00,21299.14,21264.48
