SIS,APMISRR,toler-MIS
0.8542,0.9782,0.9855
0.8393,0.9776,0.9852
0.8249,0.9769,0.9849
0.8110,0.9763,0.9846
0.7976,0.9756,0.9843
0.7846,0.9750,0.9840
0.7721,0.9743,0.9837
0.7600,0.9737,0.9833
0.7483,0.9731,0.9830
0.7370,0.9724,0.9827
