SIS,APMISRR,TolerMIS
9426.08,7971.93,7727.94
9386.87,7755.32,7523.44
9374.74,7719.93,7488.93
9409.08,7862.92,7624.93
9463.25,7846.61,7580.61
9468.28,7775.13,7555.37
9410.27,7969.42,7723.39
9349.37,7615.08,7396.92
9293.99,8061.06,7811.72
9391.37,7591.93,7375.08
9311.45,8045.16,7796.4
9299.8,7700.97,7471.52
9304.62,7851.49,7614.21
9287.01,7666.09,7440.23
9404.91,7929.24,7688.2
9282.87,7907.28,7650.35
9351.97,7745.96,7514.26
9439.6,7803.08,7541.81
9324.64,7648.64,7422.11
9381.97,7980.83,7711.88
9346.75,7808.87,7572.52
9278.81,8052.23,7804.18
9588.5,7728.39,7486.36
9277.02,7782.73,7549.34
9345.86,7808.41,7573.82
9329.41,7866.28,7627.52
9356.82,8067.56,7818.43
9340.15,8088.22,7839.1
9491.17,7900.6,7656.23
9382.15,7687.01,7459.81
