SIS,APMISRR,TolerMIS
27799.6,20786.3,20597
27711,22344,22098.2
28161.8,22864.4,22483.2
27631.5,20993.9,20788.1
27411.8,22677.2,22407.8
27184.4,20934.6,20728.1
27137.6,22729.9,22453.2
27424,21501.8,21228
27738,21001.4,20739.7
27473,22045.7,21724.9
27229.3,20733.1,20535.8
27956.7,23470.8,23042.1
27382.7,22767.8,22494
27453.1,22362.8,22109
27969.2,23157.8,22893.8
27741.1,22807.9,22546.7
27340.9,22534.1,22267.1
27219.8,21353.2,21130.4
27369.4,23076.7,22791.1
27889.9,24020.2,23547
27722.8,22372.2,22123.7
27398.4,23302.4,23013.2
27585.8,21319.3,21099.8
27600.9,22634.8,22377.9
28044.6,23774.3,23327
27717.1,20892.3,20691.8
27376.3,23731.1,23419.4
27246.3,22176.8,21923.9
27516.5,20864.9,20584.4
28015.2,22106.1,21873.7
