SIS,APMISRR,TolerMIS
17975.1,15164.8,14906.8
17917.8,15130.4,14871.1
18208.1,15677.5,15287.7
17868.1,13749.6,13537
17725.8,15127.8,14858
17579.6,13700,13487.8
17546.9,14840.1,14579.4
17732.2,14869.8,14552.2
17934.4,14124.8,13838.8
17764.6,14787.2,14465.5
17608.4,14887.4,14623.5
18075.8,14157.7,13878.4
17706.7,13896.1,13677
17750.8,13373.6,13194.9
18087.3,15619.8,15348.3
17938.8,14590.8,14349
17680.7,14493.9,14248.5
17602.4,15142.3,14865.7
17697.9,15195.1,14921.6
18032.5,13959.4,13687.8
17927.8,15159.2,14896.8
17714.6,15377.7,15100.6
17839.6,13657.3,13445.6
17845.6,14189.6,13964.2
18131.9,13983.5,13711.4
17922.2,14871.2,14620.8
17702.5,15118.1,14846.9
17617.2,13870.6,13652.9
17792,13463.7,13211.8
18116.6,15047.7,14797.4
