SIS,APMISRR,TolerMIS
18548.9,15491.7,15240.4
18475.2,15416.7,15168.7
18449.9,15272.8,15030
18516.9,15614.4,15357.9
18622.9,15662.4,15344.1
18638.1,15191,14965.8
18512,15167.8,14927.4
18402.4,15041.2,14810.3
18286.7,15263.9,15020.4
18481.9,15466.8,15216.3
18320.2,14867.8,14643
18300.3,15741.6,15475.6
18311,14860.8,14636.5
18277.5,14815,14594.2
18507.1,15160.8,14923.7
18270.4,14976.8,14728.2
18404.7,15429.5,15179.7
18579.6,15177.1,14897.5
18347,14995.7,14764.8
18465.9,15188.6,14917.4
18389.6,15381.1,15132.1
18259.7,15573,15315.1
18875.1,14881.6,14640.2
18255.1,15167.8,14928.9
18392.1,14916.8,14690.3
18357.5,15205.5,14964.6
18413,15692.5,15430.8
18383.3,14785.6,14566.6
18669.3,14824.8,14597.8
18466.8,15148.8,14913.4
