SIS,APMISRR,TolerMIS
19940,16362,16115.3
19876.5,16237.1,15992.2
20198.8,16058.9,15744.8
19820.8,16592.7,16331.7
19663,16522,16257.3
19500.5,15572.5,15342.7
19465,15551.5,15324.9
19670.6,15438.2,15182.5
19895.1,16055.1,15732.6
19706.3,16261.2,15938.8
19532.6,15058,14851.5
20051.9,17283,16878.5
19641.9,15074.1,14867.2
19691.3,14986.4,14783.9
20063.6,15731.7,15504
19899.2,15394.3,15176.4
19612.7,16225.5,15970.5
19525.9,15581.8,15352.3
19632.2,15340.5,15122.5
20004,15798.1,15497.7
19886.8,16261,16013.8
19651.4,16689.8,16421.4
19788.8,15004.5,14797.4
19796.7,15831.8,15601.1
20114.5,15232.6,14974.4
19881.2,15870.2,15637.9
19637.3,16782.2,16505.2
19543.1,14880.9,14684.5
19736.9,14897.9,14645.3
20096.3,15734.8,15512.1
