SIS,APMISRR,TolerMIS
16172.8,13732.9,13481.9
16074.1,13681.6,13431.8
16066,13758.1,13505.4
16116.5,13381.5,13147.2
16087.2,13705.8,13455.9
16074.1,13376.2,13141.3
16172.8,13710.1,13460.2
16045.8,13627.9,13381.3
16271.6,13507,13235.5
16040.1,13605.1,13359.6
16257.1,13750.2,13511.4
16066,13454.1,13216.4
16152.9,13437.9,13198.7
16062.5,13294.3,13063.7
15957.4,13684.1,13434.8
16162.1,13592.3,13349
15986.4,13524.4,13283.8
16033,13703.4,13452.4
16015.4,13693.4,13443.7
16172.8,13437,13199.8
16033,13664.3,13415.3
16015.4,13732,13480.4
16074.1,13355.8,13122
15957.4,13439.5,13203
16083.4,13418.1,13181.7
15957.4,13561.8,13318.9
15956.6,13629.7,13383.6
16054.4,13411.1,13176.1
16033,13312.4,13081.3
16177.5,13687.2,13439.3
