SIS,APMISRR,TolerMIS
23869.8,20060.8,19794.6
23793.7,20333.1,20054.8
24180.3,20670.6,20240.5
23726.1,19360.8,19109.7
23537.4,17776.5,17581.3
23342.5,17954.5,17750
23301.3,19746,19468.8
23547.3,19500.8,19166.5
23816.5,18433.7,18149.3
23589.7,17882.8,17648.5
23381,19224.9,18968.5
24004.3,20556.2,20126.5
23512.3,18578,18350.4
23572.2,20414.1,20121.5
24016.4,17823.1,17634.5
23820.2,18439.4,18220.7
23476.8,19660.9,19388.9
23372.8,20297.7,19994.5
23500.8,18173.8,17961.8
23946.9,20420.2,19994.7
23804.8,18445.2,18226.7
23524.9,20085.6,19803.3
23687.3,19864.2,19591.9
23698.8,19240.1,18996
24079.6,19947.7,19562.2
23799.2,19933.5,19667.5
23506.8,18477.9,18253.9
23394.7,18833.7,18595.4
23626.7,18809.5,18445.2
24055.8,20047,19787.7
