SIS,APMISRR,TolerMIS
28639,24083,23805.4
28575.1,22361.9,22143.3
28957.3,24790.1,24349.6
28733.4,22732.8,22512
28382.4,24355.9,24056.9
28404.6,23974.8,23693.9
28473.7,24179.8,23891.4
28161.1,22915.2,22671.1
28072.2,22208.4,21994.7
28554.1,22192.9,21981.6
28245.3,23971.7,23609.6
28629.8,22884.5,22574.1
28362.7,23947.3,23665.3
28426.8,22990.9,22747.6
28534.8,22017.6,21830.6
28546.1,22438.4,22160.9
28387.4,22987.9,22743.7
28341.6,23294.6,23038.1
28534.5,23957.4,23680.5
28749.5,22831.3,22597.2
28468.1,23175.6,22923.4
28447.7,23906.4,23629.5
28292.7,22085.8,21877
28288.6,23517.2,23248.9
28325.3,22088.8,21879.6
28966.6,22324.8,22058
28585.7,22367.5,22149.6
28319.2,23296.2,23038.3
28281,23753.1,23477.7
28859,22055.4,21854.1
