0.727467,0.901603,0.867266
0.727936,0.936172,0.904684
0.72573,0.94097,0.909423
0.727582,0.918345,0.885473
0.729526,0.924747,0.893987
0.73028,0.936615,0.905941
0.729306,0.902093,0.868309
0.731693,0.961295,0.933091
0.732392,0.877615,0.847902
0.728555,0.966498,0.937751
0.754624,0.911014,0.877841
0.728638,0.942058,0.91144
0.7299,0.913731,0.881074
0.72928,0.948396,0.918874
0.72985,0.907998,0.875063
0.728845,0.902135,0.870504
0.729764,0.936441,0.905541
0.73013,0.930942,0.899661
0.728856,0.954149,0.924315
0.72718,0.895814,0.860792
0.72899,0.924507,0.892331
0.729496,0.875806,0.840227
0.730352,0.948599,0.918927
0.730584,0.925132,0.893511
0.730276,0.925159,0.893481
0.725672,0.911815,0.878012
0.728921,0.8806,0.845039
0.7309,0.876302,0.841044
0.731347,0.919926,0.888226
0.725399,0.946766,0.915167
