SIS,APMISRR,TolerMIS
11250.6,9621.59,9369.42
11204.5,9310.44,9074.01
11189.8,9129.79,8902.23
11230.6,9137.77,8909.19
11295.2,9454.21,9173.51
11302.2,9340.31,9114.98
11230.6,9180.33,8947.1
11160,9634.18,9382.27
11092.5,9566.84,9315.73
11209.5,9062.1,8839.19
11113.2,9185.25,8954.41
11099.9,9499.36,9251.83
11105.9,9600.03,9347.88
11085.1,9171.04,8942.5
11225.3,9463.72,9219.67
11080.4,9400.76,9139.56
11162.5,9570.71,9320.58
11267.6,9254.81,8991.82
11129.1,9255.4,9020.79
11198.8,9412.14,9143.88
11155.3,9193.24,8960.93
11075,9332.35,9094.92
11445.8,9344.24,9086.03
11072.6,9201.63,8970.47
11155.1,9260.76,9026.72
11135,9491.55,9244.36
11168.1,9403.01,9161.01
11148.8,9393.23,9152.94
11326.8,9242.61,9004.03
11199.1,9523.15,9277.12
