SIS,APMISRR,TolerMIS
22198,18748.4,18484
22110.5,18854.1,18584.4
22080,18877.6,18606
22160,18427.1,18175.3
22286.8,17678.1,17424.4
22306,17783.5,17574.8
22152.7,18734.1,18466.8
22023.6,18462.2,18209
21883.8,17916.6,17685.2
22118.1,17714.5,17492.4
21923.7,18342.3,18090.6
21900.5,18766.1,18495.3
21913.5,18006.9,17771.4
21873.7,18797,18525.5
22148,17668.3,17453.4
21865.4,17911.5,17657.1
22025.9,18562.9,18303.7
22235.5,19031.7,18673.4
21956,17839.9,17611.7
22099.5,18836.3,18508.8
22006.7,17940.7,17707.2
21852.1,18666.8,18400.3
22589.7,18884.7,18548.6
21846.4,18255.1,18007.5
22010.6,18560.6,18301.5
21968.7,18588.8,18326.4
22035.5,17994.3,17759.4
22000.5,18174.1,17932.4
22340.6,18234.4,17987.2
22100.7,18655.7,18394.9
