SIS,APMISRR,TolerMIS
11634,9948.67,9694.61
11606,9490.84,9257.3
11762.3,9244.51,8990.52
11669.6,9225.12,9017
11533.3,9628.33,9384.87
11538.6,9470.12,9237.7
11568.7,9266.76,9042.57
11440.4,9937.21,9678.61
11403.2,9854.8,9601.05
11599.3,9105.2,8894.52
11470.6,9290.56,9048.31
11629.3,9892.23,9584.54
11521.9,9992.89,9733.66
11548.4,9311.77,9084.98
11588.8,9704.14,9469.28
11596.3,9703.23,9410.89
11532.9,9893.97,9639.56
11513.1,9357.13,9128.74
11592.4,9435.59,9203.4
11679.1,9691.13,9448.28
11567.6,9320.76,9091.94
11556.6,9582.89,9344.99
11494.5,9403.89,9173.14
11493.5,9353.57,9124.57
11506.9,9408.18,9177.24
11764.7,9900.22,9595.56
11612.6,9663.94,9422.58
11506.1,9621.38,9379.42
11487.3,9296.55,9072.52
11726.8,9888.05,9635.82
