SIS,APMISRR,TolerMIS
24860.1,20308.2,20058.8
24804.2,21006.3,20732.3
25136.2,19536.3,19263.3
24941.5,19586.9,19376.4
24638.1,21074.5,20787.5
24656.6,19228.5,19019.6
24717.1,19317.5,19103.5
24445.4,20375,20114.1
24368,19549.3,19325
24786.4,20606.4,20345.1
24517.6,20489.1,20167.8
24851.9,19327.9,19070.1
24620.3,19379.9,19163
24676.1,20236.8,19986.5
24769.1,19556,19346.9
24779.5,19715.1,19426.7
24642,20311,20056.4
24602,19835.9,19600.4
24769.6,20522.4,20262.7
24956,20515.4,20259.8
24712.5,20571.6,20306.1
24694.1,20953.5,20676
24559.7,19974.7,19732.9
24556.4,19978.1,19735
24587.8,19756.6,19524
25143.9,20665.7,20313.4
24813.9,19731.9,19503.5
24582.9,19301.2,19087.3
24549,20959.1,20676.9
25051.8,20721.4,20459.9
