SIS,APMISRR,TolerMIS
14410,12164.4,11919.2
14322.3,12033.9,11794.3
14314.7,12217.9,11970
14359.6,12303.4,12051.8
14333.5,12129.6,11886.3
14322.3,11902,11669
14410,12059.1,11818.9
14296.8,11934,11700.3
14497.9,12037.8,11770.8
14291.9,12096.8,11854.7
14484.6,12377.4,12134.1
14314.7,12049.1,11809.7
14392.7,11935,11698.9
14312,11957,11721.3
14218,12046.3,11807.5
14400.1,11908.6,11681
14243.8,12025.1,11787.7
14285.9,11989.3,11752.3
14269.8,12000.9,11764.2
14410,11932.9,11700.6
14285.9,11916.9,11683.7
14269.8,12054.5,11815
14322.3,11864.4,11633.2
14218,12094.8,11853.4
14330.4,12226.7,11978.1
14218,11868.6,11639.1
14217.4,11964.8,11730.5
14304.4,12009.1,11772.1
14285.9,11916.9,11683.7
14413.8,12290.7,12040.6
