SIS,APMISRR,TolerMIS
21904.9,17484.7,17250.9
21835.1,16657.4,16448.7
22189.6,17462.9,17152.4
21773.5,18137.6,17876.1
21600.2,17391.6,17152.6
21421.5,17421,17176
21383.2,17213.5,16979.7
21608.9,16334.2,16116.7
21855.8,16758.4,16491.5
21648,16823,16562.3
21456.8,16324.1,16126.9
22028.1,16784.6,16527.6
21577.1,17002.1,16777.7
21631.8,17395.6,17158.8
22040,17749.1,17507.2
21859.7,18377.1,18111
21544.8,16617.1,16407.3
21449.3,16602.6,16393.4
21566.5,17567.8,17320.8
21975.5,17707.9,17373.7
21845.8,16463.5,16261.3
21588.1,17572.5,17328.5
21738.1,18121.6,17857
21747.7,16540.7,16342.4
22097,18290.8,17919.5
21840.2,17775.9,17530.7
21572,17575.2,17327.3
21468.9,16969.4,16746.3
21681.8,18197.2,17746.8
22076,17331.9,17105.8
