SIS,APMISRR,TolerMIS
24987.3,20498.1,20268.9
24833.5,20833.1,20585.6
24822.1,20902.7,20653
24900.9,20541.9,20308.4
24856.2,20937.9,20686.9
24833.5,20535,20300.9
24987.3,21054,20798.6
24790.4,20649.3,20410.8
25140,20572,20303
24781.2,20767.2,20523.2
25119.7,20507,20292.9
24822.1,21051.1,20794.6
24953.6,21018.7,20762.6
24815.2,20852.5,20604.1
24654.3,20890.7,20641
24972,20993.5,20741.8
24699.1,20852.3,20605
24768.6,20624.1,20386.4
24743.5,20993.2,20738.9
24987.3,21276.3,21011.5
24768.6,20815,20568.3
24743.5,21040.2,20783.7
24833.5,20609.5,20372.1
24654.3,20826.8,20580.2
24848.6,21114.8,20855.5
24654.3,20485.8,20255.6
24652.9,21058.2,20800.8
24804.6,20824.2,20578.4
24768.6,20504.8,20272.6
24995.6,20803.5,20559.6
