SIS,APMISRR,TolerMIS
27671.7,23317.7,23046.6
27563.5,22172.5,21945.5
27525.1,23558.6,23275.6
27624.6,22405.4,22169
27782.5,23661.9,23279.4
27807.9,23385.1,23117.6
27613.8,23410.1,23131.4
27455.4,22572.3,22329.7
27279.4,22084.7,21860.9
27572.5,22065.7,21843
27329,23208.5,22934.2
27300.8,22428.8,22189.1
27317.3,23127.5,22858.4
27268,22517.7,22275.5
27609.3,21959.7,21746.2
27258,22178.5,21925.6
27457.5,22577.3,22332.8
27719.5,22884.2,22560.2
27369.4,23123.7,22853.8
27549.8,22437.9,22158.9
27432.4,22674.7,22424.9
27240.6,23059.5,22791.8
28161.7,22058.7,21814.1
27233.2,22847.7,22589.1
27438.3,21998.7,21778.6
27385.6,22098.4,21873.3
27469.3,22160.3,21932.8
27426.4,22778.2,22526
27847.4,23295.8,23024.7
27551.5,21951.3,21735.3
