SIS,APMISRR,TolerMIS
24022.6,19857,19606.6
23928.2,20291.5,20022.9
23895,19297.8,19069
23981.5,19366,19135.4
24118.7,20499.2,20138.4
24140,19165.6,18960.5
23973.1,19212.9,18985.8
23834.2,19933.2,19679.4
23682.3,19361.3,19130.1
23936.2,20038.9,19780.5
23725.5,19951.9,19693.1
23700.6,19171.7,18948.4
23714.8,19219.6,18994.7
23671.8,19724.9,19477.9
23968.4,19364.7,19134.4
23663,19403.5,19144.4
23836.4,19838.6,19587.2
24063.5,19597,19305.9
23760.4,19915.8,19659.2
23916.3,19914.8,19612.1
23815.2,19979,19720.2
23648.3,20147.5,19879.9
24447,19816.3,19521.4
23642,19578.2,19336.7
23819.8,19487.1,19251
23774.4,19918.6,19661.9
23846.8,19442.6,19207.9
23809.2,19183.8,18961.4
24176.2,20486.6,20210.9
23917.6,20031.6,19774.5
