SIS,APMISRR,TolerMIS
16010.2,13162,12919.4
15959.2,12713.3,12484.9
16217.3,13702.2,13348.6
15915.4,13792.9,13521.7
15788.6,13072.1,12824.8
15658.6,12082.9,11876.3
15628.7,12605.5,12377.3
15793.8,12259.6,12023.2
15973.7,12545.5,12269.9
15822.9,12999.5,12701.5
15684.2,13649.1,13372.7
16099.6,12838,12547.5
15771.5,12177.6,11967.7
15810.4,12342.9,12127.4
16110.9,13036.2,12797
15978.3,12124.7,11924.3
15748.6,12733.3,12498.7
15678.9,12477,12253.1
15763.6,12577.3,12350.2
16061.1,12215.5,11966.5
15968.9,12212.1,12001.1
15777.9,12819.9,12585.2
15890.4,11949.6,11745.9
15894.5,13191.5,12946.1
16149.4,13671.5,13317.1
15963.2,12035.4,11838.4
15767.8,12499.6,12275.6
15691.4,12552.1,12326.5
15847.1,12184.6,11917
16136.8,13753.1,13494.5
