SIS,APMISRR,TolerMIS
10884.2,9310.26,9062.88
10818.5,9138.81,8899.77
10812.3,9051.39,8818.06
10845.8,9057.35,8824.25
10825.9,9189.76,8948.99
10818.5,9138.81,8899.77
10884.2,9083.99,8849.38
10799,9295.96,9049.1
10950.5,9366.97,9084.89
10795.4,9016.59,8785.03
10939.6,9113.52,8891.2
10812.3,9253.12,9008.83
10872.5,9345.62,9094.49
10811,9086.71,8850.59
10739.3,9166.23,8927.14
10876.2,9231.09,8988.88
10758.7,9239.01,8996.07
10791.6,9099.5,8862.99
10778.6,9109.84,8873.62
10884.2,9215.98,8973.42
10791.6,9083.29,8847.68
10778.6,9157.89,8918.99
10818.5,9121.92,8883.78
10739.3,9079.28,8845.13
10824.4,9123.09,8885.31
10739.3,9195.21,8954.48
10738.9,9150.69,8912.74
10804.3,9183.26,8943.19
10791.6,9083.29,8847.68
10886.6,9272.09,9027.59
