SIS,APMISRR,TolerMIS
21081.2,17106.7,16865.6
21033.3,16508,16289.1
21315.1,17101.1,16797.1
21149.5,17653.1,17396.6
20893.9,17048.3,16804.5
20908.6,17124.6,16881.2
20960.4,17003,16763.7
20729.7,16263.8,16054.7
20663.8,16511.2,16291.8
21018.6,16653,16429.6
20789.9,16264.6,16038.3
21074,16587.6,16320.7
20877.9,16764.9,16534.7
20925.3,17052.6,16811.1
21003.3,17226.4,16985.8
21012.9,17725.4,17368.7
20896.5,16490.8,16272
20862.3,16484,16265.6
21004.6,17232,16984.5
21162.6,17288.4,17041.3
20956.8,16360.1,16144.4
20940.5,17203.5,16957.2
20826.8,17503.6,17241.4
20824.1,16412.1,16196.2
20850.4,17517.7,17255.5
21321.3,17415.4,17089.9
21042.1,17246.1,16999.7
20846.7,16762.2,16531.6
20817.1,17573.4,17309.2
21244.7,17010.5,16771.7
