SIS,APMISRR,TolerMIS
26749.6,20679.6,20468.7
26689.7,21806.1,21556.1
27046.8,22197.7,21838.2
26837.5,20851.5,20649.6
26510.3,22057.4,21790.3
26530.6,20814.8,20600.2
26595.4,22264.7,21992.9
26303.3,21152.2,20920.7
26220.1,20767,20552.7
26670.3,21644.6,21399.5
26381.4,20639.5,20407.9
26740.9,22572.8,22177.4
26491.5,22129.9,21861.2
26551.5,21832.8,21577.8
26652,22284.3,22018
26662.8,22112.3,21750.6
26514.7,21985.6,21722.9
26471.8,21116.7,20888.3
26652,22450.1,22174
26852.7,23056.1,22765.3
26590.3,21777.2,21522.1
26570.9,22558.9,22276.9
26426.2,21030.5,20805.2
26422.5,21950.1,21685.7
26456.6,22576.9,22289.5
27055.2,20791.7,20532.2
26699.8,22967.9,22675
26451,21736.6,21482.3
26415,20721.8,20510.6
26955.4,21650.9,21406.5
