SIS,APMISRR,TolerMIS
13523.4,10667.7,10446.7
13491.4,11070.1,10832.8
13672.8,10500.6,10265
13565.6,10731.3,10521.5
13405.4,11323.1,11070.3
13412.6,10874.5,10645.7
13447,10657,10436.7
13298.2,10574.5,10358.2
13255.3,11443.8,11185.3
13483.1,10484.5,10284.4
13334.5,11015.5,10752
13518.2,11677.7,11342.6
13393.1,11206.3,10960.6
13423.8,11609.4,11346.3
13471.7,10536.6,10338.6
13479.6,10656.7,10405.3
13405.6,10817.8,10590
13383,10866.9,10636.9
13474.8,10485.6,10281.8
13575.8,10494.9,10291.6
13445.5,11000.7,10762.8
13433.4,11279.2,11032
13361,10860.7,10630.9
13359.6,10752,10526.7
13375.6,11087.8,10847.4
13676,11641.8,11315.2
13498.5,11255.2,11009.8
13374.2,11315.4,11063.6
13353.2,11355.6,11103.5
13630.4,11436.5,11183.2
