SIS,APMISRR,TolerMIS
21461.5,18164.8,17909.5
21329.8,18167.4,17910.1
21319.6,18185.4,17928
21387.1,17979.2,17731.9
21348.6,17602.6,17374.9
21329.8,17651.3,17418
21461.5,18164.8,17909.5
21292.6,17988.2,17739.7
21592.6,17796.2,17522.1
21284.7,17622.2,17391.2
21574.7,18048.9,17812.6
21319.6,18185.4,17928
21433.3,17822.5,17580.1
21314.1,18206.4,17947.1
21175.5,17587.7,17359.2
21448.1,17767.4,17530.7
21214,17995.3,17747.1
21274.4,18187,17928.4
21252.3,17685.1,17451.5
21461.5,18243.5,17984.7
21274.4,17736.4,17499.5
21252.3,18107.4,17853.3
21329.8,18073.6,17820.7
21175.5,17869.5,17627
21342.5,18056,17804.6
21175.5,17990.2,17741.7
21174.4,17727.7,17492.6
21304.5,17854.9,17613.5
21274.4,17826.5,17585.3
21468.4,18138.8,17885.7
