SIS,APMISRR,TolerMIS
25834.7,20820,20577.4
25752.4,21783,21507.5
26171,19742.1,19480.5
25678.8,19780.3,19566.2
25474.6,21862.3,21566.5
25263.4,19300.5,19101.6
25219.4,19387.4,19186.8
25485.7,21021.8,20683.2
25777.2,19903.6,19616.9
25531.4,21133.7,20776
25305.1,21039.2,20769.7
25980.5,19478.8,19237.5
25447.5,19529,19322.3
25512.7,20703.2,20455.4
25992.8,19844,19629.5
25780.6,20020.7,19799.6
25408.9,20773.1,20516.6
25296.3,20121.1,19888.6
25435.1,20993.5,20730.1
25918.4,21071.4,20703.5
25763.8,21261.9,21000.6
25461.7,21634.6,21351
25636.5,20425.8,20186.5
25649.8,20421.7,20189.1
26062.1,20196.6,19894.1
25758.2,21139,20883.6
25441.6,19950,19726.7
25320.5,19402.8,19201.6
25571.6,21809,21280.7
26035.5,21360.7,21107.8
