SIS,APMISRR,TolerMIS
13075.2,10582.5,10353.7
13022.2,10837,10597.6
13004.8,10457.3,10245.5
13052.2,10616,10386.4
13127.1,11075.7,10779.7
13136.2,10751.8,10529.5
13051,10583.6,10352.9
12970.6,10522.7,10299.9
12891.1,11102.6,10848
13027.6,10458.8,10243
12914.9,10804.1,10564.8
12900,11133.3,10877.3
12907.2,10896.2,10652.9
12883.2,11123.4,10869
13045.8,10500.3,10282.2
12877.9,10545.7,10307.8
12973.1,10672.9,10440.7
13095.6,10741.9,10474.2
12933.6,10452.8,10231.6
13015.5,10457.3,10222.5
12963.9,10780.4,10541.7
12871.2,10921.1,10676.8
13303.1,10796.6,10537.1
12868.3,10612,10383.2
12964.3,10854,10613.4
12940.6,11096.5,10842.4
12979.3,10932.7,10687.6
12957.4,10994.4,10747.4
13162.4,11142.7,10885.8
13016,11025.4,10777.9
