SIS,APMISRR,TolerMIS
15412.9,12795,12547.9
15376.9,12470.6,12236.8
15583.4,13198.6,12863.1
15461.6,13322.9,13059.2
15277.5,12738.7,12489.1
15286.6,12029,11814.4
15325.4,12461.6,12226.6
15156.1,12124,11903.5
15107.4,12273.4,12046.6
15367,12716.6,12472.8
15198.3,13167.1,12851.6
15407.2,12543.8,12256.3
15264.3,12086.4,11867.8
15299.2,12209.5,11984.8
15354.6,12647.7,12414.4
15362.9,12037.3,11790.2
15278.3,12503.9,12266.6
15252.8,12318.8,12089.8
15357.3,12408.6,12176
15472.5,12120.2,11900.7
15323.3,12099,11877.5
15310.2,12571.9,12333.3
15227.4,11907.6,11703.1
15225.8,12777.5,12526.2
15244.3,13017.7,12757.1
15587.3,11999.1,11758.4
15384.4,12353.7,12124.6
15242.3,12378.7,12146.4
15219.2,12077,11860.3
15533.9,13241.3,12977.9
