SIS,APMISRR,TolerMIS
17302.3,14638.3,14377.6
17262.4,14614.9,14355.7
17494,15025.1,14661.1
17357.6,13633.2,13426
17149.6,14621.9,14355.3
17160.6,13602.7,13383.9
17203.7,14529.9,14270
17014,14362.8,14106.5
16959.6,13797.2,13568
17250.9,14416.2,14163.9
17062.2,14454.9,14151.3
17296.1,13894.8,13613.9
17135.5,13726.7,13500.8
17174.6,13348.6,13144.7
17237.5,14872.8,14604
17246.2,14206.3,13899.7
17151.1,14178.9,13933.2
17122.6,14674,14406.5
17239.7,14744.7,14477.6
17369.2,13779.4,13551.9
17201.1,14587,14322.9
17186.9,14837.6,14565.8
17093.9,13530,13312.8
17091.9,13907.1,13672.1
17113,13722.1,13496.3
17498.6,14521.3,14196.1
17270.3,14696.9,14433.3
17110.4,13724.7,13498.5
17085.2,13400.5,13191.3
17437.5,14572,14314.8
