SIS,APMISRR,TolerMIS
16724.3,14173.9,13916.3
16657.5,14140.1,13883.8
16634.9,14292.5,14028.6
16695.3,13501.5,13273.1
16791,14252.3,13931.6
16804.1,13516.1,13302.4
16691.7,14120.2,13862
16591.8,14016.4,13765.9
16488.2,13623.9,13389.7
16663.8,14016.4,13765.3
16518.4,14034.6,13779.8
16500.2,13622.1,13387.5
16509.7,13545.6,13315.2
16479.4,13306.3,13088.9
16686.7,14330.8,14066.4
16472.9,13815.3,13546
16594.2,13856,13611.3
16751.6,14280.5,13957.7
16542.5,14165.9,13905.1
16649.1,13576.4,13318.2
16581,14096.8,13839.6
16463.5,14196.7,13934.5
17017.8,13500,13254.4
16459.5,13649.9,13414.3
16582.8,13565.1,13334.2
16551.9,13965.5,13714.4
16601.8,14152.2,13893.7
16574.7,13560.9,13330.7
16833.7,13393.7,13166
16649.9,14053,13801.3
