SIS,APMISRR,TolerMIS
23224.4,19428.5,19180.9
23081.6,19599.1,19342.2
23070.8,19128.7,18894.5
23144,19166.3,18930.3
23102.4,19655.8,19397.6
23081.6,19058.3,18826.3
23224.4,19098.5,18866.4
23041.5,19436,19187.1
23366.3,19234.6,18958.7
23032.9,19455.8,19205.9
23347.2,19589.5,19348.3
23070.8,19079.7,18847.8
23193.4,19127,18890.5
23064.6,19373,19126.5
22914.9,19122,18888.5
23210.1,19232.1,18994.2
22956.5,19354.5,19110.1
23021.5,19242.9,19002.6
22997.9,19421.1,19173.1
23224.4,19483.5,19233.6
23021.5,19455.4,19205
22997.9,19560.8,19306.1
23081.6,19304.1,19060.8
22914.9,19248.5,19008.8
23095.6,19233,18993.4
22914.9,19375,19129.1
22913.6,19163.2,18928.1
23054.5,19077.4,18846.1
23021.5,19597,19339.9
23232,19538.7,19287.3
