SIS,APMISRR,TolerMIS
29764.5,24949.1,24674.9
29669.7,22568,22361
30152.5,25892,25407.2
29584.2,23019,22795.8
29349,25306.4,24995
29105.3,24611.7,24316.7
29055.7,24771.8,24473.3
29362.4,23419.4,23114.7
29698.7,22451.9,22189.1
29414.7,22308.9,22067
29153.5,24747.6,24449.5
29932.9,23325,23005.6
29317.8,24729.9,24438.9
29393.6,23420.5,23182.2
29945.6,22130.3,21946
29701.5,22692.5,22480.7
29272.9,23389.1,23146.4
29143.2,23782.9,23521.6
29303.7,24609.1,24322.5
29861.3,23190.6,22877.8
29681.8,23758.4,23513.9
29335.2,24622.2,24339.9
29535,22212.3,22012.5
29552,24264.5,24003.7
30027.2,22246.9,22000.8
29676.1,22455.8,22253.2
29311.1,22520.2,22311.3
29172.1,23781.2,23523.9
29461.4,24578.3,24061.9
29995,22131.7,21956.1
