SIS,APMISRR,TolerMIS
19191.8,15899.4,15647.8
19147.8,15810,15562.1
19404.5,15690.8,15385
19253.5,16136.3,15880.3
19021.8,16025.3,15762.4
19034.6,15372.7,15140.8
19082.1,15389.3,15155.5
18871.8,15201,14973.8
18811.7,15543.5,15301.3
19134.8,15878.9,15627.7
18926,14956.1,14720.8
19185.1,16526,16151.5
19006.7,14972,14755.3
19049.9,14910.9,14696
19120.4,15392.3,15170.1
19129.5,15188.2,14918.2
19023.8,15832,15579
18992.5,15361.3,15128.1
19122.2,15194,14968.1
19265.9,15507.9,15271.1
19079,15787.4,15535.2
19063.7,16179.7,15914.5
18960.3,14901.5,14688
18958,15483.4,15243.6
18981.7,15033.9,14814.5
19410,15616,15316.8
19156.2,16306.3,16038.5
18978.5,14839.9,14628.8
18951.1,14832.6,14623.7
19341.1,15459.2,15222.4
