SIS,APMISRR,TolerMIS
14045.3,10766,10560.2
14000.5,11323.5,11090.3
14226.6,10530.6,10314.7
13962.8,10833.7,10617.7
13851.4,11661.6,11409.6
13737.6,11010.8,10785.3
13710.6,10703.2,10494.1
13855.5,10654.5,10429.4
14013,12060.9,11708.8
13881.2,10506,10290.7
13760,11239.6,11004.3
14123.4,12202.2,11846.2
13836.3,11499.8,11254.3
13869.9,12053.6,11787.7
14134.5,10618.5,10419.9
14017.8,10763.2,10555.2
13816.6,10957.8,10735.5
13755.5,11017.3,10792
13829.3,10500.8,10315
14089.6,10518.2,10299.1
14009.9,11257.3,11025.7
13841.1,11574.8,11328.9
13941.2,11069.4,10841.5
13943.5,10902.3,10687.2
14166.9,11469,11168.5
14004.2,11986.3,11728.4
13833,11500.6,11254.4
13765.6,11611.4,11360.6
13902.2,11764.2,11385.7
14157.1,11808.9,11561.8
