APMISRR,tolerMIS,MISRRLL
0.9782,0.9855,0.9901
0.9776,0.9852,0.9895
0.9769,0.9849,0.9889
0.9763,0.9846,0.9884
0.9756,0.9843,0.9878
0.9750,0.9840,0.9872
0.9743,0.9837,0.9867
0.9737,0.9833,0.9861
0.9731,0.9830,0.9855
0.9724,0.9827,0.9850
