APMISRR,tolerMIS,MISRRLL
0.9927,0.9941,0.9967
0.9923,0.9939,0.9964
0.9919,0.9937,0.9960
0.9915,0.9934,0.9957
0.9911,0.9932,0.9954
0.9907,0.9930,0.9950
0.9903,0.9927,0.9947
0.9898,0.9925,0.9943
0.9894,0.9922,0.9940
0.9890,0.9920,0.9936
