APMISRR,tolerMIS,MISRRLL
0.9676,0.9798,0.9840
0.9717,0.9821,0.9862
0.9747,0.9837,0.9878
0.9769,0.9849,0.9889
0.9787,0.9858,0.9899
0.9801,0.9866,0.9906
0.9813,0.9872,0.9912
0.9822,0.9878,0.9918
0.9830,0.9882,0.9922
0.9837,0.9886,0.9926
0.9844,0.9889,0.9929
0.9849,0.9892,0.9932
0.9854,0.9894,0.9934
0.9858,0.9897,0.9936
0.9862,0.9899,0.9938
0.9865,0.9901,0.9940
0.9868,0.9902,0.9942
0.9871,0.9904,0.9943
0.9874,0.9905,0.9945
0.9876,0.9906,0.9946
0.9878,0.9908,0.9947
