APMISRR,tolerMIS,MISRRLL
13362.40,13327.48,13295.08
13388.80,13353.89,13321.43
13415.21,13380.30,13347.78
13441.61,13406.71,13374.13
13468.02,13433.12,13400.47
13494.42,13459.53,13426.82
13520.83,13485.95,13453.17
13547.23,13512.36,13479.52
13573.64,13538.77,13505.87
13600.04,13565.18,13532.21
13626.45,13591.59,13558.56
