APMISRR,tolerMIS,MISRRLL
11668.56,11589.22,11537.15
11676.40,11593.30,11543.78
11684.23,11597.45,11550.41
11692.06,11601.65,11557.05
11699.89,11605.92,11563.68
11707.72,11610.24,11570.31
11715.55,11614.61,11576.95
11723.38,11619.05,11583.58
11731.20,11623.54,11590.22
11739.02,11628.09,11596.85
