APMISRR,tolerMIS,MISRRLL
21265.38,21238.73,21184.55
21274.59,21244.79,21192.03
21283.80,21250.89,21199.50
21292.99,21257.03,21206.95
21302.19,21263.21,21214.40
21311.37,21269.43,21221.84
21320.55,21275.69,21229.26
21329.73,21281.98,21236.68
21338.90,21288.31,21244.09
21348.06,21294.68,21251.48
